María Payá Acevedo;Q24287381
Yser Testament;Q2166242
Clifton Hurburgh;Q23035352
Wired for Sound (song);Q51268777
Pinckney Corners Cemetery;Q22919925
Florence White (painter);Q23662303
Jake Fenlason;Q24062669
Jonathan Rosand;Q23765874
William Norman Herbert;Q19933900
39th Japan Academy Film Prize;Q22130410
Pukhov;Q56540363
Scanning electron cryomicroscopy;Q25304931
Monte-Carlo Pavilions;Q21548974
Asoke Chatterjee;Q23683517
High Liner Foods;Q25001014
Pau Torres (footballer, born 1987);Q21483951
Assim Jamal;Q17859733
F.C. Oswestry Town;Q24185289
2015–16 Women's EHF Champions League knockout stage;Q22912254
Rotel Tours;Q2168296
Gertrude Macdonald;Q21464386
Gang Albanii;Q20028887
Juan Velarde (aviator);Q24006548
Rogers Park (band);Q25056355
4-Carboxybenzaldehyde;Q23662583
Langham Island;Q24192746
William E. Foster;Q18911348
Associative memory (psychology);Q25339939
Joško Svaguša;Q23416579
Gaius Oppius Sabinus;Q719001
Mihail Andricu;Q2066236
Production assurance;Q24965064
White Sands, South Australia;Q48770878
Anastassiya Rostovchshikova;Q22957099
Zagatala PFK;Q23777444
Juan Velarde (economist);Q3753442
Washburn House (Guy, Arkansas);Q25005233
Chedean Nation;Q23884120
Obarzanek;Q25101583
The Student's Romance;Q23755572
List of international cricket five-wicket hauls at Eden Park;Q24998483
Bernhard Kölver;Q24680522
Albia Square and Central Commercial Historic District;Q24256862
Fort Findlay;Q25110409
Jack Burke (cyclist);Q22958654
Azrael (Gotham episode);Q24908912
Yannick Deschamps;Q4022526
John of Saint-Denis;Q4202384
Ahmed Al-Suhail;Q23048321
Leave It Alone (Moist song);Q25205161
National Highway 335 (India);Q25352234
XHBY-FM;Q25001889
Waterless fracturing;Q25323966
Mitchell War Memorial;Q23003022
William Sheret;Q23683368
Tetsuta Nagashima;Q16034898
David John Garland;Q21536217
Slaves' Prison;Q24950900
Jhoot;Q24908296
Kanakpur,Chincholi;Q24945863
Semera (state constituency);Q25246314
Timetree;Q24965393
Connor Freff Cochran;Q24963050
Louis Olinde;Q22661405
Judith Friedlander;Q24053621
Carys Phillips;Q24007430
Subir Bhattacharjee;Q23771815
Omar Yahya;Q24007538
List of Underbelly episodes;Q16967994
Yang Prefecture (Jiangsu);Q25206618
1987 Yokohama/Bob Jane T-Marts 300;Q24190012
Terrorist incidents in Iraq in 2016;Q22948735
Arizona Department of Gaming;Q23012837
Kim Song-bok;Q23015011
Sacrum bone of Tequixquiac;Q1602454
Heligmomerus taprobanicus;Q2914833
Excess skin;Q24026721
Beer in Indonesia;Q23461281
Kolky, Volyn Oblast;Q1010088
Volha Masiukovich;Q22951008
Jamienne S. Studley;Q29446221
List of Yuva Puraskar winners for Bodo;Q24915534
Neulußheim station;Q16831719
Budithi Bell and Brass Craft;Q24945518
Halabisah;Q24909355
Apollodorus of Cyrene;Q11906229
Star Wars: Princess Leia;Q23763053
Evangelia Chatziefraimoglou;Q22956691
Hugh Corvin;Q23688772
Warren Nature Reserve;Q24993603
List of Los Angeles Kiss seasons;Q23015052
Richard P. Cueroni;Q22958882
Derrick Williams (hurdler);Q23774398
Blanca Enriquez;Q24260881
Cryptophasa isoneura;Q13502945
Miscellany (EP);Q25096286
Prasophyllum pallens;Q15489507
Håfreströms IF;Q25103894
Jintian Park;Q25104313
Room Experience;Q23763154
Rohnert Park station;Q23010114
Airborne Sensor Operator;Q25245489
Masterkraft (producer);Q25189552
List of horror films of 2016;Q23013510
The Circus: Inside the Greatest Political Show on Earth;Q23762899
Alexis le Breton;Q24007858
Héctor el Father discography;Q25025198
Kumpf;Q37492121
Hillevåg Church;Q11975383
Franz Heck;Q1447136
Oren F. and Adelia Parker House;Q25005991
National Commission for the Fight against Genocide;Q24964537
Wañuma (Bolivia);Q25207489
Limonada (album);Q21203237
Insignia trilogy;Q16254355
Camille Schmutz;Q23772657
IFK Maryland;
Jim Creek (Boxelder Creek tributary);Q25204831
Kampala Medical Chambers Hospital;Q24236537
Al-ʿIqd al-Farīd;Q6418033
Zohreh Tabatabai;Q23772145
Heracleides (uncle);Q25240881
2016 Italian Basketball Cup;Q23021987
Wisconsin v. City of New York;Q25057252
H+, Na+-translocating pyrophosphatase family;Q24722061
Sandip Sen;Q23416989
Rowing at the 1936 Summer Olympics – Men's coxless four;Q16536298
Gregory Brigman;Q63314251
Bike (TV channel);Q25339750
Plumerville School Building;Q24040224
Dmitry Guberniev;Q4151354
Trevor Wrensford;Q23772131
Pan Pan (badminton);Q2048837
North Mountain (film);Q25136591
National Women's Liberation Conference;Q25091620
SkiWelt;Q2292116
UFC 199;Q23022829
Georgina García Pérez;Q21402261
2016 Philippine House of Representatives elections in Northern Mindanao;Q25246187
Norman Kendrew;Q23688848
Gloeocantharellus purpurascens;Q10505608
Zymrina;Q18523754
Dr. Krieger;Q25100713
Kari Chirathe;Q24038017
Stacki;Q25345761
Pseudoterinaea indica;Q14746250
Eremophila santalina;Q15593922
Cadoxton Court Dovecote;Q17743781
Talehunt;Q23680006
Father's Day (1996 film);Q1673177
Lise Charmel;Q16656025
XHXU-FM;Q25000906
Takayuki Hirao;Q11482472
Mirko Trosino;Q21994165
1917 Northwestern Purple football team;Q23303307
Lakeland Public Library;Q24260914
Tandur, Mancherial district;
Christer Hammargren;Q5786701
The Cruise (2016 TV series);Q25184008
Victor Sosnora;Q3557586
Christina Stojanova;Q23046076
Anne Rose Kitagawa;Q23883544
Pygmalion and Galatea;Q27793021
Rudy del Rosario;Q23770434
1992 South Africa vs New Zealand rugby union match;Q24233966
Moscardó;Q11937679
Himyar ibn al-Harith;Q24970841
Podolian cattle;Q23927044
Samarai Islands;Q23582250
Fred Bartholomew;Q23581920
Wowei River;Q24013580
Govt. Sheikh Fazilatunnesa Mujib Mohila College;Q24946671
XHNAL-FM;Q24987648
Protium copal;Q15546961
Satyanarayana UDA Lake Park;Q24951704
Sankuru District;Q104842358
Aya Shimokozuru;Q11360801
Cocoanut (film);Q3342785
Wassertorplatz;Q1272122
Maurice Ordonneau;Q961895
Jan Vreman;Q2383965
List of gliders (V);Q25222861
Andrew Leeds (actor);Q23303183
2016 IFA Shield;Q23058000
Charles Crandall;Q25102092
Niccolò di Tommaso;Q559655
Bulent Diken;Q23883364
Drop-in replacement;Q1260249
John Edwards House (Charleston, South Carolina);Q25212616
Lenah Cheruiyot;Q1817376
Moherloob;Q24196812
Inge Edler;Q1662766
Trachones Field;Q25062282
William Bowen (British politician);Q23582802
Vafa Huseynova;Q24053741
Ania Ruiz;Q22069552
Simon Proulx-Sénécal;Q22673824
Vincenzo Ercolano;Q23908710
Volcanic Eifel Nature Park;Q15122582
The Dark at the Top of the Stairs (film);Q1444624
Bucksturm;Q999915
Kotasattemma Temple, Nidadavolu;Q23793239
Peter Janney;Q23887848
Ben Perry;Q20643377
Multichannel analyzer;Q25104125
Kylie Cosmetics;Q28859450
James D. Warner;Q23071536
Joyce Rose;Q23900855
Femme de la rue;Q2194701
Ralph W. Sallee;Q24006800
Gabriel the Hilandarian;Q25080777
Schmidt Glacier (Antarctica);Q21472532
Carioca Arena 1;Q7089149
Makov;Q395199
Once Upon a Dead Man;Q24075032
Autumn Days;Q16303129
Whai Ngata;Q23696505
Eremophila oblonga;Q15595233
International Management Institute, Bhubaneswar;Q24950025
Kiwanis Trail;Q24061925
German submarine U-2355;Q19937366
Vance County High School;Q24040160
1991 IAAF World Indoor Championships – Women's 1500 metres;Q25221481
The Church of the Three Bishops of Kobuleti;Q23806843
Daphne Zileri;Q24050414
Stringtown House;Q24061832
Odites citrantha;Q14648999
Zsazsa Zaturnnah Ze Moveeh;Q11307655
Swansong (play);Q19178995
Kappa Delta Epsilon;Q25141696
2016 Toulon Tournament;Q23307917
Yellow Creek (South Dakota);Q25205010
Tracy Miller;Q23664277
2016 Lillestrøm SK season;Q24907713
Baidoa suicide bombing;Q23022115
Doug Eisenman;Q23418765
Jiang Hongquan;Q23664264
2016 Thai constitutional referendum;Q24908725
Hew Butler;Q23583304
Andy Janovich;Q24150920
Podi;Q1199093
Everett Buildings;Q24191234
Aphonopelma chiricahua;Q22833434
Sleeping by the Riverside;Q24958166
Oz (given name);Q25114608
Santa Giusta, Bazzano, L'Aquila;Q22263726
George Rogers Taylor;Q23303036
Dorcadion scrobicolle;Q14807375
Greg Prosser;Q24182511
Rigorosum;Q255043
Kaká (footballer, born May 1991);Q24005340
George Marriott;Q24034907
Gawler Ranges, South Australia;Q28183425
Andrew Brody;Q24150734
Lucius Virius Lupus Iulianus;Q347208
High School Affiliated to Shaanxi Normal University;Q15909823
Kindrum Lough;Q23014379
Jānis Alksnis;Q23133386
Jetboard (Hydroflight Sports);Q24038461
Li Zicheng (politician, born 1959);Q24055691
B. spectabilis;Q25101805
Mohammed Rabee;Q23881834
Gaurika Singh;Q23762473
Michel Bernheim;Q3308997
Apollonius of Chalcedon;Q3413773
2016 Arizona Democratic presidential primary;Q23304023
Seppo Linnainmaa;Q23682411
Helen Battle;Q23757113
XHATM-FM;Q25001750
Champdor-Corcelles;Q21979656
Johannes Johannesen;Q24038947
Woo Won-shik;Q16090388
Gora Glušići;Q2033644
Orme and Sons;Q24060275
List of sugar manufacturers in Tanzania;Q25037243
Valérie Guiyoule;Q11900320
Xiangshan, Taipei;Q15919621
Jeffrey P. Weaver;Q23008250
Zero Point Frontiers Corporation;Q24965336
Martina (surname);Q17541986
Independent advisory firm;Q25245493
Sarah Leo;Q23883110
Bergmönch;Q30308019
Richard Bernabe;Q22975578
452 Fifth Avenue;Q24192513
Plummer-Motz School;Q23035423
List of Archaeological Protected Monuments in Jaffna District;Q22960848
Pablo Seisdedos;Q22344336
Soviet locomotive class L;Q4345692
Samantha Quayle;Q22957653
Avantivarman of Kashmir;Q25352172
Morning Yawn;Q18890529
Katharina Hobgarski;Q20645920
List of the most prominent summits of Canada;Q24191247
Charles Villar;Q24197289
Banca di Credito Popolare di Torre del Greco;Q3633781
1979 Crossley Carpets Trophy;Q3534661
Tsai Yin-feng;Q9362525
2016 Pajot Hills Classic;Q24908082
Jacinto Marques;Q16262755
St. Anthony High School (Detroit);Q25352186
Acacia xanthocarpa;Q9570502
Akap Sinem;
Navrongo Solar Power Station;Q25226950
Michael Ferber;Q23302982
KMM College of Arts and Science;Q24945949
Crawfish Lake;Q22829174
Streptomyces phaeochromogenes;Q26291715
1944 United States Senate election in Ohio;Q104842334
Amarjeet Singh Nagi;Q23765854
St. Peter's First Community Church;Q24062073
Subhan Qureshi;Q23820112
OML29;Q25112821
Sir Philip Reginald le Belward Grey Egerton, 14th Baronet;Q23613158
2016 Brabantse Pijl;Q21072408
Xianyang West railway station;Q10921810
Kimetto;Q25114727
Matthias Hofbauer;Q124756
Paul Siraudin;Q3372207
Alexander Tikhanovich;Q4458404
Doomed (Bring Me the Horizon song);Q25218402
Great Guitars (band);Q7737787
The Fencing Illini;Q25058761
Yelena Lyubimova;Q23050219
National Route 38 (South Korea);Q16099539
Brown Bears women's basketball;Q30325923
List of aircraft (Sp);Q25241950
The New Oscar Pettiford Sextet;Q15965693
Salinibacter ruber;Q12859591
Ebara-ji;Q11455394
Samuel Lalmuanpuia;Q23007995
Subash Vasu;Q24266462
Sathiyan Gnanasekaran;Q24946131
Sorayuth Suthassanachinda;Q3088778
Petit Jean River Bridge (Yell County, Arkansas);Q25248056
Sharon White;Q30707589
Kwinana freight railway;Q24088925
Resource-based learning;Q25313265
Wapato Corrections Facility;Q24693587
Hegel Bulletin;Q45319398
2016–17 Wolverhampton Wanderers F.C. season;Q24083530
Dalton Rapattoni;Q23799334
Hua Hin Municipal Stadium;Q25063942
Anantapur Municipal Corporation;Q16314894
Carthage (municipality);Q28151514
Deaths in February 2003;Q10844413
Republican Liberal Party (Panama);Q25352049
Logic and dialectic;Q25062655
William Stormont Hackett;Q24205811
WNRA;Q113133819
Energy Change Institute;Q24191387
R473 road (Ireland);Q24197074
Hiram D. Morse;Q23073622
Viktor Hey (footballer, born 1996);Q23837479
Basem Al-Montashari;Q20382400
1936–37 Rangers F.C. season;Q29586938
Picnic Spot, Lachhiwala;Q23808613
Mannini;Q1890766
Bwizamani Singh;Q23945365
Dragan Dobrić;Q24088582
Cabangus regius;Q3022367
1998 Junior World Boxing Championships;Q25058642
Abdallah Qara'ali;Q23418837
Fox River Paper Company Historic District;Q24693426
Des Dillon;Q30707363
Ligonier Point Historic District;Q23091878
Shot heard round the world (soccer);Q20994050
Veeranjaneya Temple, Ardhagiri;Q24949039
The Little Thing (1938 film);Q3225430
Haripur, Chanditala-I;Q24949803
Charles Rouxel;Q1799931
Charles Brenner (mathematician);Q23856943
Vladimir Kokovtsov's Cabinet;Q25063284
La nube rosa;Q22667411
Almendrales;Q9604761
Jane Bissell Grabhorn;Q23613030
Bida radiosella;Q25094608
Zoltán Csehi;Q871109
Miehe;Q28745062
Benjamin Caron;Q22958724
Nathalie Du Pasquier;Q20644171
Prairie Heights Senior High School;Q23017169
Bluemouth cichlid;Q136053
Hoosier Theater Building;Q25006368
Elisabeth Hase;Q1329964
Colin McGrath;Q24083703
2016 UCI Track Cycling World Championships – Women's omnium;Q23042044
1977 Colgate International of Australia;Q3535067
Bettina Loved a Soldier;Q3639160
Swimming at the 2016 European Aquatics Championships – Women's 100 metre butterfly;Q24083674
Elizabeth Little (tennis);Q3051240
Kristoffer Halvorsen;Q23058129
2016 La Flèche Wallonne;Q20033471
Al-Tasamoh FC;Q23773660
Livarot-Pays-d'Auge;Q21979809
2016 Abierto Mexicano Telcel – Women's singles;Q22876877
Vanda Wesenhagen;Q23887456
Manumission inscriptions at Delphi;Q22906717
1992 European Athletics Indoor Championships – Women's 1500 metres;Q25221401
Robert White Johnson;Q25024958
Porelli;Q56540315
V. Sasi;Q24055641
Al-Fajaa (Mallah);Q20415365
Deep & Chilled Euphoria;Q22907702
Noble Academy (Chicago);Q24694629
2016 Green Party of England and Wales leadership election;Q24083519
The Queen of Spades (Prokofiev);Q25217693
XHLIA-FM;Q25001747
Mill Creek Bridge (Cherokee, Iowa);Q25205622
Timocratica subovalis;Q14492699
Narmad Suvarna Chandrak;Q24804761
Radyr Golf Club;Q24182572
Teyujagua;Q23682166
Dualite;Q1262652
Fabián Bastidas;Q18221238
Now That I Know;Q47016135
Adana MTB Cup;Q24914446
IPC Athletic Asia-Oceania Championship 2016 – Men's long jump;Q25315529
List of Italy national football team captains;Q2645478
Transient receptor potential calcium channel family;Q25323946
Sergey Kudryavtsev;Q4244608
1992 Moray District Council election;Q24993833
L-Streptose;Q25323841
List of ships of World War II (G);Q23638560
Univrs;Q22909563
Johnstone Shire Hall;Q24190253
Grand River Bridge (Arispe, Iowa);Q25205053
Eliane Elias Sings Jobim;Q24964718
Gou Zhongwen;Q16336174
Nick Jarl;Q24006515
Merelaus the Emperor;Q25333071
My Kitchen Rules (American TV series);Q25223279
Barrel of land;Q1770545
Glad to Be Unhappy (album);Q25095841
Bhit Ja Bhittai;Q25212143
Rollercoaster Restaurant;Q25066825
John Williams (Medal of Honor, born 1828);Q24436008
VC Dinamo Krasnodar (women's volleyball team);Q2618484
Paraguayan Legion;Q25230647
Stanley Llewellyn Perry;Q23822296
Frédéric Ogée;Q23931912
William Jackson III;Q23007845
Ghaggar railway station;Q24949553
Murvyn Vye;Q1953913
Unguarded;Q27792586
Norwegian Biathlon Championships 2016;Q23700625
Govind Ram Nirmalkar;Q23008581
Japu Willk'i;Q25104476
NHS internal market;Q65090159
Køge Å;Q23746220
Made in Israel;Q6813243
2016–17 Women's FIH Hockey World League Round 1;Q23722883
Evgeny Kleshchenko;Q23771412
Mimauxa rufoantennata;Q2748279
Two Red Roses;Q24041267
2016 Lale Cup – Doubles;Q24908334
Accidentalism (art);Q25347092
Alan Cuff;Q23071318
James L. Baughman;Q24259821
Jamb Question;Q23979571
Tohto University;Q11528569
Angelo Visconti;Q17453200
Marinka Khachatryan;Q24048895
Naina Sharma;Q24034394
Bradyville, West Virginia;Q24191705
Domene miranda;Q25096353
Replay (The Outfield album);Q25096109
Labis (federal constituency);Q25241066
2016 Ecuador earthquake;Q23835355
2016 United States presidential election in New Mexico;Q23018316
Semenanyane Airport;Q25036953
Neeraj Chawla;Q23882750
Newborn Foundation;Q24526021
Zoya (singer);Q24550520
Jessie Woolley-Wilson;Q24248203
Rodrigo Vera;Q23771573
Francis H. Morrison House;Q25006423
The Ford Road Show Featuring Bing Crosby;Q25050841
Alex (Verhœven series);Q25183285
Jagdish Lal;Q23901577
Philippe Horvath;Q21887250
XHMOR-FM;Q25001617
Pophalwane;Q24950133
Santa Maria in Valle Porclaneta;Q631656
List of historic places in Southern Alberta;Q24191477
2016 Wests Tigers season;Q23019934
Sascha Mockenhaupt;Q16509199
1994 Tayside Regional Council election;Q24993576
Kattikkulam;Q24949126
Little Gables, Florida;Q23016559
Afrodeezia;Q19859783
Q'illu Q'illu (Bolivia);Q25205964
Reichardia ligulata;Q15602806
Chuqi Sillani (Aroma-Loayza);Q25204549
Alison MacMillan;Q23461785
Bağıştaş 2 Dam;Q24037176
